time,ax,ay,az (m/s^2),aT (m/s^2)
0.790311,1.1209,0.9654,-0.4017,1.533
0.796846,1.1082,0.9898,-1.4125,2.050
0.800176,0.8396,0.8584,-2.0468,2.373
0.806166,0.5493,0.5095,-2.4608,2.572
0.810664,0.2006,0.0721,-2.2197,2.230
0.815953,-0.1152,-0.3126,-1.8815,1.911
0.819260,-0.3215,-0.6328,-1.6163,1.765
0.825021,-0.4428,-0.8576,-1.3303,1.644
0.829722,-0.4264,-1.0156,-1.0694,1.535
0.835138,-0.5301,-1.2910,-0.6853,1.555
0.839723,-0.5842,-1.5788,-0.2856,1.707
0.843564,-0.5647,-1.6378,0.0628,1.734
0.849853,-0.2270,-1.3633,0.2382,1.402
0.854947,0.0988,-1.0359,0.3172,1.088
0.858252,0.2655,-0.8566,0.3741,0.972
0.863318,0.2500,-0.8685,0.4471,1.008
0.867837,0.2094,-0.9132,0.4740,1.050
0.872432,0.2334,-0.9329,0.3044,1.009
0.877029,0.2399,-0.8345,0.0103,0.868
0.883249,0.2191,-0.7041,-0.3339,0.809
0.887179,0.2470,-0.5033,-0.7449,0.932
0.892110,0.1009,-0.4682,-1.1393,1.236
0.897444,0.0511,-0.5810,-1.5079,1.617
0.902348,0.0935,-0.5871,-1.7893,1.885
0.906107,0.1592,-0.5055,-1.8905,1.963
0.911586,0.3558,-0.4183,-1.8543,1.934
0.916374,0.5797,-0.2311,-1.6875,1.799
0.921034,0.6502,-0.0958,-1.4041,1.550
0.925246,0.6307,-0.1307,-0.9130,1.117
0.931663,0.5574,-0.2840,-0.4005,0.743
0.937931,0.4293,-0.3739,-0.0552,0.572
0.943463,0.3051,-0.4031,0.0491,0.508
0.945640,0.2536,-0.4627,0.0612,0.531
0.950132,0.1722,-0.5456,-0.0020,0.572
0.956059,0.0846,-0.5778,-0.0735,0.589
0.959138,0.0319,-0.6215,-0.0745,0.627
0.966711,-0.0181,-0.6503,0.0020,0.651
0.969401,0.1822,-0.5776,0.0906,0.612
0.975394,0.4325,-0.4886,0.0619,0.655
0.979633,0.4524,-0.4639,-0.0869,0.654
0.983641,0.3523,-0.5385,-0.2435,0.688
0.989567,0.3116,-0.5296,-0.4154,0.742
0.993167,0.2915,-0.5568,-0.5740,0.851
0.998427,0.2269,-0.5526,-0.8533,1.042
1.003316,0.2075,-0.5079,-1.1284,1.255
1.008695,0.2246,-0.4735,-1.2026,1.312
1.013806,0.1791,-0.3743,-1.0541,1.133
1.017508,0.0706,-0.3212,-0.7878,0.854
1.022213,-0.1052,-0.4271,-0.4539,0.632
1.027026,-0.1713,-0.6133,-0.1432,0.653
1.036963,-0.2880,-0.8268,0.1586,0.890
1.037706,-0.5309,-0.9918,0.4828,1.224
1.041909,-0.6333,-1.1706,0.8028,1.554
1.046539,-0.6187,-1.3077,0.9892,1.753
1.051682,-0.6212,-1.3859,0.9823,1.809
1.056128,-0.7653,-1.3569,0.8800,1.789
1.060821,-0.8115,-1.1776,0.8545,1.666
1.066772,-0.6546,-1.0343,0.8172,1.472
1.070805,-0.5657,-0.8985,0.7036,1.274
1.076082,-0.4675,-0.7846,0.7433,1.178
1.081368,-0.3595,-0.7099,0.7329,1.082
1.085959,-0.2412,-0.6961,0.8521,1.126
1.091201,-0.2393,-0.7601,1.0624,1.328
1.095133,-0.1753,-0.8568,1.1417,1.438
1.099603,-0.1916,-0.7832,1.0521,1.326
1.105284,-0.1996,-0.5229,0.8012,0.977
1.110271,-0.0476,-0.5086,0.6398,0.819
1.115123,0.0708,-0.7772,0.6268,1.001
1.119243,0.0880,-1.0355,0.6326,1.217
1.123719,0.0174,-0.9665,0.1763,0.983
1.129411,-0.0336,-0.5534,-0.4713,0.728
1.137470,0.1110,-0.1011,-0.8556,0.869
1.139603,0.2942,0.0692,-0.9697,1.016
1.143791,-0.0954,0.1240,-1.0183,1.030
1.148792,-0.7289,-0.8473,-0.3592,1.174
1.153269,-0.1328,-1.8617,1.0942,2.164
1.158145,0.0814,-2.3820,2.2724,3.293
1.163061,-0.5229,-4.9999,2.8757,5.792
1.168182,-0.5679,-7.0930,2.4780,7.535
1.172111,3.1369,3.7327,0.4353,4.895
1.178171,-1.2922,6.9129,-3.4923,7.852
1.183359,-2.7992,5.5871,-4.5318,7.719
